2024-02-11|08:45:12|coffee and bagel|Starbucks|-8.75
2024-03-21|08:05:09|breakfast sandwich|Dunkin'|-6.50
2024-05-18|11:30:00|Invoice 1004 paid|Delta Inc|1980.00
2024-09-14|15:22:10|software subscription|Microsoft|-29.99
2024-12-27|13:47:29|team lunch|Chipotle|-63.85
2025-01-15|12:00:00|Invoice 1005 paid|Echo Co|2500.00
2025-03-08|07:55:33|rideshare to office|Uber|-16.40
2025-07-03|09:30:00|Invoice 1002 paid|Acme Corp|2200.00
2025-08-29|14:05:42|online ads|Google Ads|-120.00
2025-11-05|18:20:11|parking fee|City Parking|-12.00
2026-01-22|12:10:45|office supplies|Staples|-54.20
2026-04-10|09:15:55|printer ink|Office Depot|-72.60
2026-06-19|10:05:00|Invoice 1003 paid|Beta LLC|1750.00
2026-07-30|17:33:21|cloud storage|Dropbox|-19.99
2026-10-02|16:50:18|snacks for office|Walmart|-34.27
2026-04-28|10:15:20|bill|sunrise apt|-800.00
